name,url,slogan,rate
Bob Gold & Associates,/profile/bob-gold-associates,We Build and Burnish Brands.," $150 - $199 / hr
"
Yulu Public Relations Inc.,/profile/yulu-public-relations,Sharing the Stories That Matter," $150 - $199 / hr
"
REQ,/profile/req,Digital Marketing Agency - REQ | Own What's Next.," $150 - $199 / hr
"
Martin Levy Public Relations,/profile/martin-levy-public-relations,PR for Emerging Tech Companies & Personalities," $100 - $149 / hr
"
Tribe Builder Media,/profile/tribe-builder-media,Ranked #5 Best Entrepreneurial Company in America," $150 - $199 / hr
"
For The Win Media,/profile/for-win-media,"Working with bands, brands and innovative ideas!", Undisclosed 
WebiMax,/profile/webimax,Reputation Management Experts," $100 - $149 / hr
"
Amore Incorporated,/profile/amore-incorporated,Publicity Matters," $200 - $300 / hr
"
S&G Content Marketing,/profile/sg-content-marketing,Smarter Content Marketing," $150 - $199 / hr
"
SEO Image,/profile/seo-image,"SEO, Reputation Management, PPC Social & Design"," $150 - $199 / hr
"
Reputation Rhino,/profile/reputation-rhino,Online Reputation Management Solutions, Undisclosed 
milk*,/profile/milk,"Advertising Agency in South Norwalk, CT"," $150 - $199 / hr
"
twentysix,/profile/twentysix,life online," $150 - $199 / hr
"
Gvate,/profile/gvate,"NY Top SEO, SEM & Reputation Management Company"," $50 - $99 / hr
"
Appular,/profile/appular,Strategy Made Mobile," $100 - $149 / hr
"
Gramophone Media Inc.,/profile/gramophone-media,Gramophone Media Inc., Undisclosed 
J Public Relations,/profile/j-public-relations,Commitment. Authority. Collaboration," $100 - $149 / hr
"
5W Public Relations,/profile/5w-public-relations,5W GETS PR. OUR CLIENTS GET RESULTS.," $100 - $149 / hr
"
DCI,/profile/dci,The Leader in Marketing Places.," $100 - $149 / hr
"
W2O Group,/profile/w2o-group,It’s about achieving InteGREATness.," $100 - $149 / hr
"
Fahlgren Mortine,/profile/fahlgren-mortine,Marketing and Communications Without Boundaries.," $100 - $149 / hr
"
G&S Business Communications,/profile/gs-business-communications,INSPIRE ACTION," $150 - $199 / hr
"
Hunter Public Relations,/profile/hunter-public-relations,Public Relations and Communications New York," $100 - $149 / hr
"
Spectrum,/profile/spectrum,Where health science and communications meet.," $100 - $149 / hr
"
NJFPR,/profile/njfpr,Award-winning travel PR firm.," $100 - $149 / hr
"
Dukas Linden,/profile/dukas-linden,Building visibility. Growing brand value.," $100 - $149 / hr
"
Prosek Partners,/profile/prosek-partners,"Award-Winning, Independent, Global PR Firm."," $100 - $149 / hr
"
Vested,/profile/vested,"Public Relations and Communications New York, NY"," $200 - $300 / hr
"
Feintuch Communications,/profile/feintuch-communications,An award-winning strategic relations firm.," $100 - $149 / hr
"
Lazar Partners,/profile/lazar-partners,We Catalyze Connections®," $100 - $149 / hr
"
Kivvit,/profile/kivvit,INSIGHTS. DRIVE. RESULTS.," $100 - $149 / hr
"
Makovsky,/profile/makovsky,Power of Specialized Thinking," $100 - $149 / hr
"
AMP3 Public Relations,/profile/amp3-public-relations,AMP3 is an Award Winning PR Firm in NYC, Undisclosed 
Spark PR,/profile/spark-pr,Shaping narratives. Transforming brands.," $100 - $149 / hr
"
Bliss Integrated,/profile/bliss-integrated,New York Marketing Communication Firm," $100 - $149 / hr
"
PAN Communications,/profile/pan-communications,We Move Ideas.," $150 - $199 / hr
"
Peppercomm,/profile/peppercomm,Listen. Engage. Repeat.," $100 - $149 / hr
"
Coyne PR,/profile/coyne-pr,A Full-Service Public Relations Agency.," $100 - $149 / hr
"
ICR,/profile/icr,When you mean business.," $100 - $149 / hr
"
Intermarket,/profile/intermarket,Service is a key factor that sets us apart.," $100 - $149 / hr
"
Quinn,/profile/quinn,New York PR agency.," $100 - $149 / hr
"
Hawkins International,/profile/hawkins-international,Our connections. Your results.," $100 - $149 / hr
"
Tier10,/profile/tier10,"Advertising Agency in Herndon, Virginia"," $150 - $199 / hr
"
Lou Hammond Group,/profile/lou-hammond-group,Put our reputation to work for yours.," $100 - $149 / hr
"
RF|Binder,/profile/rfbinder,Business Builders With a Communications Mindset, Undisclosed 
KYNE,/profile/kyne,Dedicated to helping improve and save lives.," $100 - $149 / hr
"
imre,/profile/imre,The transformative agency of today," $150 - $199 / hr
"
Purple PR,/profile/purple-pr,Creative. Connected. Driven.," $100 - $149 / hr
"
LaunchSquad,/profile/launchsquad,We love nothing more than to tell a good story.," $100 - $149 / hr
"
Taylor,/profile/taylor,A public relations agency for the digital age," $100 - $149 / hr
"
Greentarget Global,/profile/greentarget-global,Direct a Smarter Conversation," $100 - $149 / hr
"
Porter Novelli,/profile/porter-novelli,We make people believe," $150 - $199 / hr
"
Omnicom,/profile/omnicom,Talent. Collaboration. Creativity.," $50 - $99 / hr
"
Ogilvy,/profile/ogilvy,We Make Brands Matter," $150 - $199 / hr
"
Workhouse,/profile/workhouse-1,PR firms in New York., Undisclosed 
Benenson Strategy Group,/profile/benenson-strategy-group,New York premier consulting and strategic research, Undisclosed 
Breaking News,/profile/breaking-news,"Latest World, US & Local News", Undisclosed 
Brunswick Group,/profile/brunswick-group,One firm. Globally.," $100 - $149 / hr
"
MDC Partners,/profile/mdc-partners,Where great talent lives., Undisclosed 
M Booth,/profile/m-booth,Global Communications Company, Undisclosed 
Fifth Avenue Brands,/profile/fifth-avenue-brands,Public Relations & Digital Media," $150 - $199 / hr
"
Pierce Mattie Communications,/profile/pierce-mattie-communications,Getting your message across., Undisclosed 
Clarity,/profile/clarity-7,Fearless Global Communications," $100 - $149 / hr
"
JG Black Book,/profile/jg-black-book,Public Relations Firm In New York, Undisclosed 
"Rubenstein Public Relations, Inc.",/profile/rubenstein-public-relations,Communications agency in New York., Undisclosed 
Small Girls PR,/profile/small-girls-pr,PR firms in New York., Undisclosed 
Finn Partners,/profile/finn-partners-0,PR firm in New York., Undisclosed 
ODA,/profile/oda,UNIQUE APPROACHES. FLAWLESS EXECUTION., Undisclosed 
Colangelo & Partners,/profile/colangelo-partners,Cultivate your message., Undisclosed 
Chandler Chicco Agency,/profile/chandler-chicco-agency,A Syneos Health Company, Undisclosed 
Goldman & McCormick PR,/profile/goldman-mccormick-pr,"When You're Ready To Rise, We're Ready To Roll!", Undisclosed 
RLM Public Relations,/profile/rlm-public-relations,PR Firm in New York., Undisclosed 
Lippe Taylor,/profile/lippe-taylor,Public relations & digital marketing agency., Undisclosed 
WIT Strategy,/profile/wit-strategy,Philadelphia Communications Agency," $150 - $199 / hr
"
Cornerstone,/profile/cornerstone,Create. Amplify.," $100 - $149 / hr
"
Agency V,/profile/agency-v,Public Relations and Communications in Stockholm," $100 - $149 / hr
"
Beckerman,/profile/beckerman,Strategy. Message. Impact., Undisclosed 
PKPR,/profile/pkpr,Public relations agency in New York., Undisclosed 
Indra,/profile/indra-0,PR firm in New York., Undisclosed 
MAO Public Relations,/profile/mao-public-relations,PR Firm in New York., Undisclosed 
Black Frame,/profile/black-frame,PR agency in New York., Undisclosed 
BPM-PR Firm,/profile/bpm-pr-firm,BEAUTIFUL PLANNING MARKETING & PR, Undisclosed 
Laura Davidson Public Relations,/profile/laura-davidson-public-relations,Dedication. Innovation. Collaboration., Undisclosed 
ZOÏ Agency,/profile/zoi-agency,A Boutique Public Relations Bureau," $100 - $149 / hr
"
Affect,/profile/affect,Public Relations Firm in New York, Undisclosed 
FTI Consulting Strategic Communications,/profile/fti-consulting-strategic-communications,"Your Source Of Data, Analysis and News", Undisclosed 
GEOFFREY WEILL ASSOCIATES,/profile/geoffrey-weill-associates,PR agency in New York., Undisclosed 
Baltz & Company,/profile/baltz-company,"The greatest stories are found, not created.", Undisclosed 
Cameo,/profile/cameo,PR Firms in New York., Undisclosed 
Pace Public Relations,/profile/pace-public-relations,PR Agency in New York., Undisclosed 
Wunderlich Kaplan Communications,/profile/wunderlich-kaplan-communications,Communications Agency in New York, Undisclosed 
Catherine Miran PR Agency,/profile/catherine-miran-pr-agency,Paris Public Relations & Communications Agency, Undisclosed 
KMR Communications,/profile/kmr-communications,EXPERTLY CRAFTED & PERSONALIZED PR SOLUTION, Undisclosed 
